"Question","Winner","Entry_NO","Exit_NO","PnL","Volume"
"Will a Republican win Michigan US Senate Election?","No","0.88","1","0.136363636363636","684107.752029"
"Will a candidate from another party win US Michigan Senate Election?","No","0.88","1","0.136363636363636","676897.319904"
"Will Florida be Trump's worst state on March 19?","No","0.88","1","0.136363636363636","65403.9301"
"Will Kansas be Trump's worst state on March 19?","No","0.88","1","0.136363636363636","16049.918022"
"Will Illinois be Trump's worst state on March 19?","No","0.88","1","0.136363636363636","8374.77227"
"Will Ohio be Trump's worst state on March 19?","No","0.88","1","0.136363636363636","52342.394504"
"Will Arizona be Trump's best state on March 19?","No","0.88","1","0.136363636363636","12169.79"
"Will Ohio be Trump's best state on March 19?","No","0.88","1","0.136363636363636","24965.697141"
"Will Kansas be Trump's best state on March 19?","No","0.88","1","0.136363636363636","42457"
"Will Illinois be Trump's best state on March 19?","No","0.88","1","0.136363636363636","9435.818131"
"Senegal Presidential Election: Another candidate wins?","No","0.88","1","0.136363636363636","7140.362685"
"Senegal Presidential Election: Amadou Ba wins?","No","0.88","1","0.136363636363636","24130.197757"
"Senegal Presidential Election: Khalifa Sall wins?","No","0.88","1","0.136363636363636","7016.842585"
"Senegal Presidential Election: Idrissa Seck wins?","No","0.88","1","0.136363636363636","3953"
"Senegal Presidential Election: Anta Babacar Ngom wins?","No","0.88","1","0.136363636363636","9227"
"Will Ghannon Burton win the Mississippi Republican Senate Primary?","No","0.88","1","0.136363636363636","2000"
"Will Dan Eubanks win the Mississippi Republican Senate Primary?","No","0.88","1","0.136363636363636","3000"
"Will the New England Patriots sign Kirk Cousins? ","No","0.88","1","0.136363636363636","1435"
"Will the Minnesota Vikings sign Kirk Cousins? ","No","0.88","1","0.136363636363636","1625"
"Will Mike Tyson win his boxing match against Jake Paul?","No","0.88","1","0.136363636363636","32399877.164035"
